"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"Chad","","137","3.9360001087189","0.43801298737526","0.95385587215424","0.041134715080261","0.16234202682972","0.21611385047436","0.05358188226819","2.0712380409241","0"
"Chad","","131","4.301","0.358","0.907","0.053","0.189","0.06","0.181","","0"
"Chad","","132","4.35","0.35","0.766","0.192","0.174","0.078","0.198","","0"
"Chile","","26","6.444","1.159","1.369","0.92","0.357","0.056","0.187","","1"
"Chile","","25","6.476","1.131","1.331","0.808","0.431","0.061","0.197","","1"
"Chile","","20","6.6519999504089","1.2527846097946","1.2840249538422","0.8194797039032","0.37689527869224","0.3266624212265","0.082287982106209","2.5095858573914","1"
"Chile","Latin America and Caribbean","27","6.67","1.10715","1.12447","0.85857","0.44132","0.12869","0.33363","2.67585","1"
"Chile","Latin America and Caribbean","24","6.705","1.2167","0.90587","0.81883","0.37789","0.11451","0.31595","2.95505","1"
"China","Eastern Asia","84","5.14","0.89012","0.94675","0.81658","0.51697","0.02781","0.08185","1.8604","0"
"China","","93","5.191","1.029","1.125","0.893","0.521","0.1","0.058","","0"
"China","Eastern Asia","83","5.245","1.0278","0.79381","0.73561","0.44012","0.02745","0.04959","2.17087","0"
"China","","86","5.246","0.989","1.142","0.799","0.597","0.103","0.029","","1"
"China","","79","5.2729997634888","1.0811657905579","1.1608374118805","0.74141550064087","0.47278770804405","0.028806841000915","0.022794274613261","1.7649385929108","0"
"Colombia","","43","6.125","0.985","1.41","0.841","0.47","0.034","0.099","","1"
"Colombia","","37","6.26","0.96","1.439","0.635","0.531","0.039","0.099","","1"
"Colombia","","36","6.356999874115","1.0706223249435","1.4021829366684","0.59502792358398","0.4774874150753","0.14901447296143","0.046668741852045","2.6160681247711","1"
"Colombia","Latin America and Caribbean","33","6.477","0.91861","1.24018","0.69077","0.53466","0.0512","0.18401","2.85737","1"
"Colombia","Latin America and Caribbean","31","6.481","1.03032","1.02169","0.59659","0.44735","0.05399","0.15626","3.17471","1"
"Comoros","Sub-Saharan Africa","138","3.956","0.27509","0.60323","0.29981","0.15412","0.18437","0.1827","2.25632","0"
"Comoros","Sub-Saharan Africa","140","3.956","0.23906","0.79273","0.36315","0.22917","0.199","0.17441","1.95812","0"
"Comoros","","142","3.973","0.274","0.757","0.505","0.142","0.078","0.275","","0"
